distance_from_start,length,slope,radius,x,y
0.0,1.9324889641893506,0.0,10000.0,-1.1368683772161603e-13,-7.105427357601002e-15
1.9324889641893506,1.8448669071256303,0.0,43.318261649334026,-0.8317736867437032,1.7443239752851478
3.777355871314981,1.7616383527129953,0.0,37.88002741627169,-1.552491713716402,3.442587626961138
5.538994224027976,1.683310335637059,0.0,33.173364724436,-2.1627401549566554,5.095151249250216
7.2223045596650355,1.6104476063628048,0.0,29.137725243024445,-2.6631050845025666,6.7023751363745525
8.83275216602784,1.5436682068176741,0.0,25.715967899880702,-3.054172576392496,8.264619582556586
10.376420372845514,1.483632391191017,0.0,22.854793112955004,-3.336528704664888,9.782244882018452
11.860052764036531,1.4310227871665842,0.0,20.505264951796782,-3.5107595433577616,11.25561132898253
13.291075551203116,1.3865143036771908,0.0,18.62341584783293,-3.5774511665093915,12.685079217670982
14.677589854880306,1.3507338555977406,0.0,17.17091415702844,-3.5371896481580514,14.07100884230619
16.02832371047805,1.3242125758200756,0.0,16.115756089126755,-3.3905610623422437,15.413760497110456
17.352536286298125,1.3073363650866174,0.0,15.432923377900853,-3.1381514830999584,16.71369447630585
18.65987265138474,1.3003032454964087,0.0,15.104932618170501,-2.780546984469669,17.97117107411484
19.96017589688115,1.303096530222422,0.0,15.122199155635021,-2.318333640489536,19.18655058475964
21.263272427103573,1.3154803178075893,0.0,15.483153606390983,-1.7520975251976922,20.360193302462484
22.578752744911164,1.33701871825933,0.0,16.194082195502627,-1.0824247126327242,21.49245952144567
23.915771463170493,1.3671144760030944,0.0,17.26870483254724,-0.3099012768325654,22.583709535931508
25.28288593917359,1.4050586404069652,0.0,18.727543986321237,0.5648867081642821,23.63430364014225
26.687944579580552,1.4500819887435026,0.0,20.597161448839447,1.5413531683194872,24.644602128300196
28.138026568324054,1.5014007283866428,0.0,22.909344524522293,2.618912029595088,25.614965294627495
29.639427296710696,1.5582522021581067,0.0,25.700311390092327,3.7969772179525263,26.545753433346665
