Course,Rider,No Wind Time (s),Headwind Time (s),Tailwind Time (s),Headwind Loss (s),Tailwind Gain (s)
Tokyo_Olympic,Male TT,3937.57,4217.18,3695.71,279.61,241.86
Tokyo_Olympic,Male Sprinter,4344.43,4688.51,4052.86,344.08,291.57
Flanders_WorldChamp,Male TT,3083.19,3251.5,2927.19,168.31,156.01
Flanders_WorldChamp,Male Sprinter,3473.09,3689.57,3277.11,216.48,195.98
